STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_prc,Components of energy prices,nrg_cons,Energy consumption,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2020,,0.0291,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2021,,0.0271,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2022,,0.0280,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2023,,0.0321,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2024,,0.0326,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2017,,0.0906,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2018,,0.0965,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2019,,0.0982,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2020,,0.0984,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2021,,0.0988,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2022,,0.1110,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2023,,0.1077,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CZ,Czechia,2024,,0.1254,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2017,,0.0742,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2018,,0.0698,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2019,,0.0682,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2020,,0.0706,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2021,,0.0715,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2022,,0.0775,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2023,,0.0911,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DE,Germany,2024,,0.1104,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2017,,0.0495,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2018,,0.0444,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2019,,0.0513,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2020,,0.0548,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2021,,0.0474,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2022,,0.0478,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2023,,0.0492,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,DK,Denmark,2024,,0.0577,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,,0.0593,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,,0.0613,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,,0.0660,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,,0.0686,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,,0.0668,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,,0.0743,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,,0.0828,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,,0.0852,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2017,,0.0558,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2018,,0.0569,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2019,,0.0551,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2020,,0.0556,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2021,,0.0598,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2022,,0.0705,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2023,,0.0884,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EE,Estonia,2024,,0.0924,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2017,,0.0450,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2018,,0.0358,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2019,,0.0358,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2020,,0.0342,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2021,,0.0339,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2022,,0.0328,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2023,,0.0402,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,EL,Greece,2024,,0.0491,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,ES,Spain,2017,,0.0442,,d,definition differs (see metadata),,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,ES,Spain,2018,,0.0450,,d,definition differs (see metadata),,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,ES,Spain,2019,,0.0582,,,,,
